Purchase Date,Ticker,Quantity,Unit Cost,Total Cost,Start of Year,Present Date,Year-end Price,Present Price,SP500 Initial Price,SP500 Year-end Price,SP500 Present Price,Stock Return,SP500 Return,Eq SP500 Shares,Stock Share Value,SP500 Share Value,Stock Gain,SP500 Gain
2017-04-26,FB,180,146.56,26380.8,2018-12-31,2019-07-26,131.09,199.75,2387.449951171875,2506.8501,3025.8601,0.36292303493449785,0.2674025264968434,11.049781373239274,35955.0,33435.092571007925,9574.2,7054.292571007925
2017-01-17,AMZN,120,809.72,97166.40000000001,2018-12-31,2019-07-26,1501.97,1943.05,2267.889892578125,2506.8501,3025.8601,1.39965667144198,0.33421825720128706,42.84440806318942,233166.0,129641.18486652314,135999.59999999998,32474.78486652313
2017-03-29,SHOP,180,72.72,13089.6,2018-12-31,2019-07-26,138.45,336.54,2361.1298828125,2506.8501,3025.8601,3.627887788778878,0.28153055959619433,5.543786513094358,60577.200000000004,16774.722412890344,47487.600000000006,3685.122412890343
2017-04-07,MSFT,90,62.2654,5603.886,2018-12-31,2019-07-26,99.5402,139.6219,2355.5400390625,2506.8501,3025.8601,1.24236735008528,0.28457171171850937,2.379023878630539,12565.971000000001,7198.5934312953905,6962.085000000001,1594.70743129539
2017-04-26,NFLX,150,150.17,22525.499999999996,2018-12-31,2019-07-26,267.66,335.78,2387.449951171875,2506.8501,3025.8601,1.2359992009056402,0.2674025264968434,9.434962181696584,50366.99999999999,28548.875610604642,27841.499999999996,6023.375610604646
2017-01-11,PG,170,75.3472,12809.024,2018-12-31,2019-07-26,88.2888,112.5778,2275.320068359375,2506.8501,3025.8601,0.4941205512613607,0.32986129823124344,5.629548202084807,19138.226,17034.225285715154,6329.201999999999,4225.201285715155
2017-02-16,JNJ,70,107.5424,7527.968,2018-12-31,2019-07-26,123.8581,127.1668,2347.219970703125,2506.8501,3025.8601,0.18248058440205894,0.2891250661494602,3.2071847095544896,8901.676,9704.492245971018,1373.7079999999996,2176.524245971018
2017-04-05,KHC,50,79.8317,3991.585,2018-12-31,2019-07-26,40.0858,30.4541,2352.949951171875,2506.8501,3025.8601,-0.6185212140039609,0.28598574674016564,1.6964172986391024,1522.705,5133.121416901844,-2468.88,1141.536416901844
